caldt,vwretd,spindx,sprtrn
20090601,0.025957,942.87,0.025818
20090602,0.001893,944.74,0.001983
20090603,-0.013036,931.76,-0.013739
20090604,0.011331,942.46,0.011484
20090605,-0.002298,940.09,-0.002515
20090608,-0.000884,939.14,-0.001011
20090609,0.003606,942.43,0.003503
20090610,-0.003454,939.15,-0.003480
20090611,0.005926,944.89,0.006112
20090612,0.001513,946.21,0.001397
20090615,-0.023676,923.72,-0.023769
20090616,-0.012557,911.97,-0.012720
20090617,-0.001058,910.71,-0.001382
20090618,0.008390,918.37,0.008411
20090619,0.003153,921.23,0.003114
20090622,-0.029761,893.04,-0.030600
20090623,0.002037,895.10,0.002307
20090624,0.006795,900.94,0.006524
20090625,0.021370,920.26,0.021444
20090626,-0.001578,918.90,-0.001478
20090629,0.008951,927.23,0.009065
20090630,-0.008363,919.32,-0.008531
20090701,0.004366,923.33,0.004362
20090702,-0.028866,896.42,-0.029145
20090706,0.002452,898.72,0.002566
20090707,-0.019498,881.03,-0.019684
20090708,-0.000849,879.56,-0.001669
20090709,0.003317,882.68,0.003547
20090710,-0.004008,879.13,-0.004022
20090713,0.024724,901.05,0.024934
20090714,0.005305,905.84,0.005316
20090715,0.029502,932.68,0.029630
20090716,0.008569,940.74,0.008642
20090717,-0.000444,940.38,-0.000383
20090720,0.011461,951.13,0.011432
20090721,0.003641,954.58,0.003627
20090722,-0.000315,954.07,-0.000534
20090723,0.022961,976.29,0.023290
20090724,0.002755,979.26,0.003042
20090727,0.002713,982.18,0.002982
20090728,-0.002438,979.62,-0.002606
20090729,-0.004232,975.15,-0.004563
20090730,0.011931,986.75,0.011896
20090731,0.000594,987.48,0.000740
20090803,0.015215,1002.63,0.015342
20090804,0.002984,1005.65,0.003012
20090805,-0.002714,1002.72,-0.002914
20090806,-0.005597,997.08,-0.005625
20090807,0.013266,1010.48,0.013439
20090810,-0.003304,1007.10,-0.003345
20090811,-0.011987,994.35,-0.012660
20090812,0.011798,1005.81,0.011525
20090813,0.007025,1012.73,0.006880
20090814,-0.008445,1004.09,-0.008531
20090817,-0.023926,979.73,-0.024261
20090818,0.010187,989.67,0.010146
20090819,0.007059,996.46,0.006861
20090820,0.010558,1007.37,0.010949
20090821,0.018416,1026.13,0.018623
20090824,-0.000583,1025.57,-0.000546
20090825,0.002407,1028.00,0.002369
20090826,0.000290,1028.12,0.000117
20090827,0.002485,1030.98,0.002782
20090828,-0.001989,1028.93,-0.001988
20090831,-0.007871,1020.62,-0.008076
20090901,-0.021739,998.04,-0.022124
20090902,-0.003071,994.75,-0.003296
20090903,0.008764,1003.24,0.008535
20090904,0.012966,1016.40,0.013118
20090908,0.008913,1025.39,0.008845
20090909,0.007755,1033.37,0.007782
20090910,0.010279,1044.14,0.010422
20090911,-0.001161,1042.73,-0.001350
20090914,0.006243,1049.34,0.006339
20090915,0.003038,1052.63,0.003135
20090916,0.015149,1068.76,0.015324
20090917,-0.002853,1065.49,-0.003060
20090918,0.002624,1068.30,0.002637
20090921,-0.003233,1064.66,-0.003407
20090922,0.006615,1071.66,0.006575
20090923,-0.010070,1060.87,-0.010068
20090924,-0.009156,1050.78,-0.009511
20090925,-0.006292,1044.38,-0.006091
20090928,0.017753,1062.98,0.017810
20090929,-0.002220,1060.61,-0.002230
20090930,-0.003401,1057.08,-0.003328
20091001,-0.025416,1029.85,-0.025760
20091002,-0.004416,1025.21,-0.004506
20091005,0.014663,1040.46,0.014875
20091006,0.013690,1054.72,0.013705
20091007,0.003153,1057.58,0.002712
20091008,0.007512,1065.48,0.007470
20091009,0.005545,1071.49,0.005641
20091012,0.004357,1076.19,0.004386
20091013,-0.002409,1073.19,-0.002788
20091014,0.017430,1092.02,0.017546
20091015,0.003971,1096.56,0.004157
20091016,-0.007959,1087.68,-0.008098
20091019,0.009393,1097.91,0.009405
20091020,-0.006263,1091.06,-0.006239
20091021,-0.008705,1081.40,-0.008854
20091022,0.010584,1092.91,0.010644
20091023,-0.011542,1079.60,-0.012179
20091026,-0.011538,1066.95,-0.011717
20091027,-0.003531,1063.41,-0.003318
20091028,-0.019478,1042.63,-0.019541
20091029,0.022410,1066.11,0.022520
20091030,-0.027945,1036.19,-0.028065
20091102,0.006402,1042.88,0.006456
20091103,0.002456,1045.41,0.002426
20091104,0.001330,1046.50,0.001043
20091105,0.019499,1066.63,0.019236
20091106,0.002607,1069.30,0.002503
20091109,0.022363,1093.08,0.022239
20091110,0.000229,1093.01,-0.000064
20091111,0.005054,1098.51,0.005032
20091112,-0.009921,1087.24,-0.010259
20091113,0.005801,1093.48,0.005739
20091116,0.014478,1109.30,0.014468
20091117,0.001241,1110.32,0.000919
20091118,-0.000216,1109.80,-0.000468
20091119,-0.013166,1094.90,-0.013426
20091120,-0.003328,1091.38,-0.003215
20091123,0.013635,1106.24,0.013616
20091124,-0.000588,1105.65,-0.000533
20091125,0.004628,1110.63,0.004504
20091127,-0.016980,1091.49,-0.017233
20091130,0.003926,1095.63,0.003793
20091201,0.012002,1108.86,0.012075
20091202,0.000517,1109.24,0.000343
20091203,-0.008319,1099.92,-0.008402
20091204,0.005461,1105.98,0.005509
20091207,-0.002519,1103.25,-0.002468
20091208,-0.010203,1091.94,-0.010252
20091209,0.003660,1095.95,0.003672
20091210,0.006023,1102.35,0.005840
20091211,0.003802,1106.41,0.003683
20091214,0.006696,1114.11,0.006959
20091215,-0.005645,1107.93,-0.005547
20091216,0.000944,1109.18,0.001128
20091217,-0.011886,1096.08,-0.011811
20091218,0.006278,1102.47,0.005830
20091221,0.010349,1114.05,0.010504
20091222,0.003565,1118.02,0.003564
20091223,0.002687,1120.59,0.002299
20091224,0.005245,1126.48,0.005256
20091228,0.001421,1127.78,0.001154
20091229,-0.001191,1126.20,-0.001401
20091230,0.000207,1126.42,0.000195
20091231,-0.010167,1115.10,-0.010050
20100104,0.015970,1132.99,0.016043
20100105,0.003066,1136.52,0.003116
20100106,0.000907,1137.14,0.000546
20100107,0.003898,1141.69,0.004001
20100108,0.002791,1144.98,0.002882
20100111,0.001724,1146.98,0.001747
20100112,-0.009159,1136.22,-0.009381
20100113,0.008434,1145.68,0.008326
20100114,0.002369,1148.46,0.002427
20100115,-0.010708,1136.03,-0.010823
20100119,0.012443,1150.23,0.012500
20100120,-0.010489,1138.04,-0.010598
20100121,-0.018772,1116.48,-0.018945
20100122,-0.021872,1091.76,-0.022141
20100125,0.004539,1096.78,0.004598
20100126,-0.004003,1092.17,-0.004203
20100127,0.004791,1097.50,0.004880
20100128,-0.011755,1084.53,-0.011818
20100129,-0.009675,1073.87,-0.009829
20100201,0.014002,1089.19,0.014266
20100202,0.012781,1103.32,0.012973
20100203,-0.004936,1097.28,-0.005474
20100204,-0.031009,1063.11,-0.031141
20100205,0.003003,1066.19,0.002897
20100208,-0.008498,1056.74,-0.008863
20100209,0.012927,1070.52,0.013040
20100210,-0.002047,1068.13,-0.002233
20100211,0.009735,1078.47,0.009680
20100212,-0.002560,1075.51,-0.002745
20100216,0.018242,1094.87,0.018001
20100217,0.004566,1099.51,0.004238
20100218,0.006558,1106.75,0.006585
20100219,0.001968,1109.17,0.002187
20100222,-0.000985,1108.01,-0.001046
20100223,-0.012151,1094.60,-0.012103
20100224,0.009932,1105.24,0.009720
20100225,-0.001729,1102.94,-0.002081
20100226,0.001370,1104.49,0.001405
20100301,0.010000,1115.71,0.010159
20100302,0.002319,1118.31,0.002330
20100303,0.000380,1118.79,0.000429
20100304,0.003904,1122.97,0.003736
20100305,0.013974,1138.70,0.014008
20100308,0.000171,1138.50,-0.000176
20100309,0.001958,1140.45,0.001713
20100310,0.004812,1145.61,0.004525
20100311,0.004563,1150.24,0.004042
20100312,-0.000332,1149.99,-0.000217
20100315,0.000617,1150.51,0.000452
20100316,0.007967,1159.46,0.007779
20100317,0.005805,1166.21,0.005822
20100318,-0.000355,1165.83,-0.000326
20100319,-0.005295,1159.90,-0.005087
20100322,0.005317,1165.81,0.005095
20100323,0.007378,1174.17,0.007171
20100324,-0.005491,1167.72,-0.005493
20100325,-0.001427,1165.73,-0.001704
20100326,0.000760,1166.59,0.000738
20100329,0.005649,1173.22,0.005683
20100330,0.000171,1173.27,0.000043
20100331,-0.003289,1169.43,-0.003273
20100401,0.007302,1178.10,0.007414
20100405,0.008022,1187.44,0.007928
20100406,0.001781,1189.44,0.001684
20100407,-0.005259,1182.45,-0.005877
20100408,0.003583,1186.44,0.003374
20100409,0.006607,1194.37,0.006684
20100412,0.001860,1196.48,0.001767
20100413,0.000747,1197.30,0.000685
20100414,0.011312,1210.65,0.011150
20100415,0.000686,1211.67,0.000843
20100416,-0.016104,1192.13,-0.016127
20100419,0.004721,1197.52,0.004521
20100420,0.008132,1207.17,0.008058
20100421,-0.000906,1205.94,-0.001019
20100422,0.002409,1208.67,0.002264
20100423,0.006918,1217.28,0.007124
20100426,-0.004460,1212.05,-0.004296
20100427,-0.023272,1183.71,-0.023382
20100428,0.006419,1191.36,0.006463
20100429,0.013005,1206.78,0.012943
20100430,-0.016712,1186.69,-0.016648
20100503,0.012927,1202.26,0.013121
20100504,-0.023775,1173.60,-0.023838
20100505,-0.006100,1165.90,-0.006561
